Nationality,Country ,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,YTD (Jan-Dec)-2025,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024
Asia and the Pacific,,"2,387,127","1,918,859","1,684,357","1,707,015","1,739,611","1,774,807","1,841,726","1,880,237","1,708,042","1,786,788","1,778,718","1,989,334","22,196,621","1,955,313","2,319,923","2,063,087","2,069,461","2,137,118","2,197,566","2,369,020","2,304,928","2,013,906","1,952,024","2,075,472","2,362,800"
South-East Asia,,"908,215","837,071","746,585","788,706","826,041","863,823","740,625","747,768","765,119","744,009","716,406","782,033","9,466,401","735,661","944,998","817,836","859,777","944,514","980,085","967,013","883,873","887,356","825,721","837,314","976,631"
South-East Asia,Brunei,"1,306","1,075",856,949,"1,267","1,528","1,081","1,579",926,984,"1,521","2,044","15,116","1,142","1,328",996,"1,063","1,155","1,246","1,339","1,921","1,025","1,294","1,409","2,270"
South-East Asia,Cambodia,"46,001","43,533","41,087","30,607","36,430","19,994","12,813","4,479","5,002","5,278","5,783","2,550","253,557","47,963","45,404","46,499","42,732","46,384","47,125","49,135","46,242","43,436","43,590","45,367","49,183"
South-East Asia,Indonesia,"82,919","70,389","66,486","72,756","72,807","71,899","64,275","49,434","55,300","50,086","61,872","69,301","787,524","70,785","77,579","63,162","74,499","75,162","80,154","74,541","66,911","65,857","66,816","74,591","86,553"
South-East Asia,Laos,"94,271","78,253","92,192","80,468","74,464","79,291","63,430","67,682","55,279","60,942","59,282","62,814","868,368","102,319","100,613","105,165","95,010","104,273","111,412","118,503","82,791","79,490","67,865","85,555","71,206"
South-East Asia,Malaysia,"443,015","418,045","292,436","362,636","385,332","398,433","358,287","391,777","428,712","378,143","321,869","342,171","4,520,856","321,704","501,120","345,750","401,282","442,550","423,554","427,863","405,752","472,899","402,575","354,892","452,137"
South-East Asia,Myanmar,"50,067","44,157","57,188","58,320","56,312","63,468","47,796","51,660","53,325","64,152","65,171","77,062","688,678","35,742","39,616","51,358","56,698","47,830","43,701","44,547","41,702","38,354","43,317","43,725","60,039"
South-East Asia,Philippines,"48,987","47,601","51,046","60,389","63,908","64,860","61,162","60,713","55,080","61,299","63,665","65,865","704,575","35,418","37,911","42,504","43,856","44,695","57,067","59,361","53,721","46,279","56,008","61,551","59,753"
South-East Asia,Singapore,"77,555","64,585","81,349","61,321","76,706","107,501","73,196","70,640","73,522","77,095","89,176","114,695","967,341","65,188","66,414","83,489","62,938","82,219","105,202","75,176","84,267","72,993","79,144","100,968","131,642"
South-East Asia,Vietnam,"64,094","69,433","63,945","61,260","58,815","56,849","58,585","49,804","37,973","46,030","48,067","45,531","660,386","55,400","75,013","78,913","81,699","100,246","110,624","116,548","100,566","67,023","65,112","69,256","63,848"
North-East Asia,,"1,160,830","810,284","648,899","586,238","580,432","594,404","783,681","837,742","625,746","705,938","701,552","793,388","8,829,134","947,242","1,137,558","987,746","933,676","900,612","910,897","1,125,068","1,154,776","843,454","837,295","913,291","1,015,150"
North-East Asia,China,"662,779","371,542","297,113","317,213","310,292","306,617","420,770","409,691","321,309","357,445","326,974","372,247","4,473,992","508,563","674,558","573,216","595,572","559,461","528,112","688,248","657,366","469,668","459,819","483,364","535,215"
North-East Asia,Hong Kong (China),"69,047","43,411","37,395","52,965","41,826","51,345","66,823","72,802","40,295","50,513","51,004","65,732","643,158","47,831","67,278","78,463","59,401","64,981","81,602","97,896","107,831","59,891","62,126","66,244","82,532"
North-East Asia,Japan,"87,441","120,130","109,173","58,152","69,378","64,989","74,717","128,178","91,610","73,806","108,038","105,615","1,091,227","74,205","104,086","93,136","62,360","67,269","69,733","75,650","122,382","93,827","74,005","109,639","104,612"
North-East Asia,North Korea,2,12,2,15,1,3,0,63,1,3,2,1,105,0,0,22,4,15,0,0,0,0,0,2,0
North-East Asia,Korea (Republic of),"209,065","168,090","120,775","84,455","91,178","98,544","130,259","133,995","101,672","136,382","130,251","150,561","1,555,227","222,571","189,727","146,575","120,608","124,093","131,409","157,909","156,152","133,741","142,327","154,509","189,324"
North-East Asia,Macao (China),"3,635","1,976","1,993","2,907","2,573","2,978","4,631","5,488","3,055","3,241","3,548","4,887","40,912","1,947","3,424","4,268","3,774","3,842","4,720","7,217","8,992","3,647","3,276","4,100","6,173"
North-East Asia,Mongolia,"12,082","4,752","2,569",993,924,949,"1,069",676,926,974,"2,880","8,086","36,880","8,749","4,237","1,670",987,995,987,"1,096",951,859,949,"2,669","8,196"
North-East Asia,Taiwan,"116,779","100,371","79,879","69,538","64,260","68,979","85,412","86,849","66,878","83,574","78,855","86,259","987,633","83,376","94,248","90,396","90,970","79,956","94,334","97,052","101,102","81,821","94,793","92,764","89,098"
South Asia,,"226,506","207,348","221,738","247,481","266,036","244,051","231,652","231,472","248,687","257,898","281,678","318,399","2,982,946","198,708","184,134","191,100","204,881","231,397","232,550","195,376","201,587","210,321","210,803","243,913","269,158"
South Asia,Bangladesh,"13,237","10,433","6,202","11,266","10,884","13,875","12,399","11,005","12,093","13,352","13,167","16,420","144,333","13,469","13,853","7,264","13,989","10,046","12,814","12,111","8,847","10,247","12,327","11,983","15,318"
South Asia,Bhutan,"4,539","2,729","1,805","1,625","1,766","1,901","2,480","1,873","2,080","2,096","2,352","3,826","29,072","3,161","1,639","1,238","1,062","1,187","1,296","1,535","1,585","1,721","1,881","1,945","3,331"
South Asia,India,"185,809","169,988","187,973","206,286","228,544","205,299","189,303","190,604","207,195","213,858","236,232","266,228","2,487,319","162,831","148,992","161,129","170,635","198,993","197,489","158,676","165,757","171,694","168,747","203,489","220,717"
South Asia,Iran,"4,814","4,753","8,912","5,214","4,566","2,421","1,356","3,379","3,797","4,561","4,956","5,068","53,797","4,823","4,606","10,668","4,602","4,087","3,698","4,227","5,231","5,762","6,123","5,519","5,616"
South Asia,Maldives,"1,700","1,762","1,052","2,076","2,210","2,265","3,280","1,893","2,312","1,865","2,049","2,584","25,048","2,031","1,934",963,"2,006","4,416","3,017","1,932","1,917","3,032","1,817","2,137","3,234"
South Asia,Nepal,"4,414","4,431","4,292","3,576","3,530","3,264","4,187","4,581","4,634","5,675","3,758","4,154","50,496","3,751","3,109","3,219","2,799","2,924","3,438","3,667","3,552","3,205","5,956","3,642","4,503"
South Asia,Pakistan,"6,267","6,761","3,736","8,289","6,765","8,248","10,915","8,781","8,099","8,161","8,448","9,585","94,055","5,158","6,124","3,019","4,936","5,660","6,812","8,339","6,797","6,652","6,558","6,901","8,158"
South Asia,Sri Lanka,"5,726","6,491","7,766","9,149","7,771","6,778","7,732","9,356","8,477","8,330","10,716","10,534","98,826","3,484","3,877","3,600","4,852","4,084","3,986","4,889","7,901","8,008","7,394","8,297","8,281"
Other in Asia,,170,129,175,194,165,210,251,240,216,247,373,605,"2,975",73,85,115,121,95,68,86,138,100,159,177,279
Oceania,,"91,406","64,027","66,960","84,396","66,937","72,319","85,517","63,015","68,274","78,696","78,709","94,909","915,165","73,629","53,148","66,290","71,006","60,500","73,966","81,477","64,554","72,675","78,046","80,777","101,582"
Oceania,Australia,"82,116","57,499","59,395","75,067","58,601","62,474","75,384","54,841","60,191","70,055","69,202","83,857","808,682","65,905","47,045","59,172","62,887","52,920","64,883","70,772","56,146","64,839","69,339","70,937","90,165"
